peerGroup,esgScore,governanceScore,environmentScore,socialScore,date
Software & Services,15.35,5.19,0.44,9.71,01-01-2020
Software & Services,15.35,5.19,0.44,9.71,02-01-2020
Software & Services,15.55,5.24,0.44,9.87,03-01-2020
Software & Services,14.91,5.07,0.47,9.37,07-01-2020
Software & Services,14.91,5.07,0.47,9.37,08-01-2020
Software & Services,14.94,5.09,0.47,9.37,10-01-2020
Software & Services,14.74,4.9,0.47,9.37,01-01-2021
Software & Services,14.74,4.9,0.47,9.37,02-01-2021
Software & Services,14.74,4.9,0.47,9.37,03-01-2021
Software & Services,14.63,4.83,0.42,9.37,05-01-2021
Software & Services,13.26,4.73,0.46,8.06,09-01-2021
Software & Services,13.26,4.73,0.46,8.06,02-01-2022
Software & Services,13.75,5.23,0.46,8.06,05-01-2022
Software & Services,15.24,5.33,1.53,8.39,08-01-2022
